type,registration_no,name,dob,place,sex,father,mother,cause,created_at
birth,REG-0243,Dr. Richard Heath,1955-08-17,West Gregoryburgh,M,Dakota Williams,Tami Lopez,,2025-11-13T04:44:21.737613
birth,REG-0244,Eric Kennedy,2015-06-21,Jacobsfort,M,Eric Odonnell,Terri Smith,,2025-11-13T04:44:21.738526
death,REG-0245,Joshua Spencer,,Arellanoton,,,,Accident,2025-11-13T04:44:21.739353
birth,REG-0246,Jennifer Hansen,1976-12-31,Meganfurt,O,Matthew Velasquez,Dr. Lori Stone,,2025-11-13T04:44:21.739702
death,REG-0247,Matthew Morgan,,North Justin,,,,Accident,2025-11-13T04:44:21.740479
birth,REG-0248,Christopher Cantrell,2005-07-29,New Melanietown,F,Allen Smith,Crystal Kelly,,2025-11-13T04:44:21.740791
birth,REG-0249,Jane Barry,1950-05-19,North Cheryl,F,Walter Meyer,Valerie Martin,,2025-11-13T04:44:21.741552
birth,REG-0250,Glenn Carson,1992-04-14,Royhaven,O,Arthur Mcconnell,Ashley Ruiz,,2025-11-13T04:44:21.742295
birth,REG-0251,Kimberly Andrade,1978-04-05,Rachelfort,O,Justin King,Kendra Kennedy,,2025-11-13T04:44:21.743081
death,REG-0252,Jean Walls,,Ericborough,,,,Natural,2025-11-13T04:44:21.743849
birth,REG-0253,Deborah Cuevas,1953-08-19,West Timothychester,M,Michael Morrison,Lori Chan,,2025-11-13T04:44:21.744162
birth,REG-0254,Carrie Williams,1979-06-23,North Heather,O,Randy Jones,Terry Foley,,2025-11-13T04:44:21.744895
birth,REG-0255,Tommy Vargas,2016-04-10,Mcintoshborough,O,Dalton Parrish,Amy Howell,,2025-11-13T04:44:21.745671
birth,REG-0256,Christine Lewis,1947-05-02,South Victoria,F,William Hayes,Natasha Rasmussen,,2025-11-13T04:44:21.746378
birth,REG-0257,Thomas Wise,1959-04-14,Garciastad,F,Frank Joyce,Nina Cooley,,2025-11-13T04:44:21.747159
death,REG-0258,John Hooper,,North Gregory,,,,Unknown,2025-11-13T04:44:21.747906
death,REG-0259,Lisa Williams,,East Albertborough,,,,Natural,2025-11-13T04:44:21.748226
death,REG-0260,Hannah Livingston DDS,,West Coreybury,,,,Accident,2025-11-13T04:44:21.748674
death,REG-0261,Darlene Evans,,Mccoyport,,,,Unknown,2025-11-13T04:44:21.749073
birth,REG-0262,Katherine Jackson,1959-05-22,Munozland,O,Robert Pennington,Sheena Clay,,2025-11-13T04:44:21.749422
birth,REG-0263,Jeffrey Chavez,2002-01-27,South Erikview,M,Eric Garcia,Mrs. Melissa Richardson,,2025-11-13T04:44:21.750155
birth,REG-0264,James Rodriguez,1980-10-14,Jacksonmouth,F,Tristan Schultz,Mrs. Susan Smith,,2025-11-13T04:44:21.750898
death,REG-0265,Megan Austin,,Robertfurt,,,,Unknown,2025-11-13T04:44:21.751652
birth,REG-0266,Michael Weaver,1970-11-21,Dennismouth,M,James Gray,Valerie Mejia,,2025-11-13T04:44:21.751995
death,REG-0267,Matthew Nunez,,West Jennifer,,,,Unknown,2025-11-13T04:44:21.752722
death,REG-0268,Samantha English DVM,,Davilaland,,,,Unknown,2025-11-13T04:44:21.753073
birth,REG-0269,Darlene Boyer,1991-02-23,Port Mariah,F,Joseph Austin,Rebecca Williams MD,,2025-11-13T04:44:21.753404
birth,REG-0270,Casey Bush,1956-11-28,North Nicholas,O,Jermaine Smith,Katherine Moon,,2025-11-13T04:44:21.754127
death,REG-0271,Kelly Alvarado,,Annechester,,,,Accident,2025-11-13T04:44:21.754857
birth,REG-0272,Adriana Owens,2016-05-05,Erinfurt,M,Jared Elliott,Ashlee Walker,,2025-11-13T04:44:21.755157
death,REG-0273,Regina Rocha,,Churchhaven,,,,Natural,2025-11-13T04:44:21.755949
death,REG-0274,Jonathan Hughes,,Ryantown,,,,Accident,2025-11-13T04:44:21.756253
birth,REG-0275,Donna Smith,1982-05-07,South Charlesview,O,Ricky Boyd,Jasmine Bowers,,2025-11-13T04:44:21.756553
birth,REG-0276,John Keller,1984-05-10,Richardmouth,O,Michael Sanchez,Rebecca King,,2025-11-13T04:44:21.757294
death,REG-0277,John Kennedy,,Lake Carla,,,,Unknown,2025-11-13T04:44:21.758019
birth,REG-0278,Mackenzie Rosario,2020-03-01,North Troyfort,F,Michael Roman,Ashley Ortiz,,2025-11-13T04:44:21.758330
birth,REG-0279,Logan Burton,2008-01-27,Lake Lorraine,F,Robert Murphy,Victoria Lyons,,2025-11-13T04:44:21.759169
death,REG-0280,Maria Crawford,,North Michael,,,,Disease,2025-11-13T04:44:21.759904
death,REG-0281,Corey Cooper,,East Robertfort,,,,Natural,2025-11-13T04:44:21.760322
birth,REG-0282,Jennifer Fleming,2010-09-09,East Joseph,F,Kevin Peterson,Connie Wade MD,,2025-11-13T04:44:21.760637
death,REG-0283,Jessica Mora,,Trevorhaven,,,,Natural,2025-11-13T04:44:21.761372
death,REG-0284,Danielle Roberts,,South Sally,,,,Unknown,2025-11-13T04:44:21.761673
birth,REG-0285,Veronica Griffin,1972-05-03,West Christiantown,F,Timothy Robinson,Marie Barker,,2025-11-13T04:44:21.761973
birth,REG-0286,Sydney Dennis,1967-10-04,Kleinfurt,F,Edwin Booth,Crystal Miller,,2025-11-13T04:44:21.762734
birth,REG-0287,Eric Stevenson,1970-02-28,Vancefort,F,Michael Goodwin,Erin Carter,,2025-11-13T04:44:21.763495
birth,REG-0288,James Rice,1950-06-12,Jacksonmouth,F,Steven Hernandez,Kathleen Rodriguez,,2025-11-13T04:44:21.764403
death,REG-0289,Paul Fernandez,,Smithfurt,,,,Accident,2025-11-13T04:44:21.765163
birth,REG-0290,Jonathan Baker,1972-04-16,Port Danielberg,F,Brian Robinson,Julie Petty,,2025-11-13T04:44:21.765489
death,REG-0291,Savannah Lewis,,West William,,,,Natural,2025-11-13T04:44:21.766189
death,REG-0292,Kristina Lopez,,Newmanborough,,,,Disease,2025-11-13T04:44:21.766546
birth,REG-0293,George Wilkins,1987-08-30,Hernandezshire,O,David Graham,Kristin Byrd,,2025-11-13T04:44:21.766885
birth,REG-0294,Rickey Tyler,1962-11-28,Nixonbury,F,Jeffery Horn,Nancy Yates,,2025-11-13T04:44:21.767654
birth,REG-0295,Ronnie Lopez,1988-07-19,Lake Brianside,M,Timothy Rodriguez,Alexandra Jensen,,2025-11-13T04:44:21.768369
birth,REG-0296,Jennifer Hutchinson,2025-10-05,North Joy,M,William Gonzalez,Sheena Love,,2025-11-13T04:44:21.769272
birth,REG-0297,Jesus Smith DVM,1969-01-11,Barbaramouth,M,Phillip Ritter,Danielle Baker,,2025-11-13T04:44:21.770039
death,REG-0298,Tiffany Hale,,West Kiaraside,,,,Accident,2025-11-13T04:44:21.770749
death,REG-0299,Maureen Parks,,Benjaminland,,,,Unknown,2025-11-13T04:44:21.771048
death,REG-0300,Christopher Brown,,Lake Michaelburgh,,,,Natural,2025-11-13T04:44:21.771343
birth,REG-0301,Patrick Hill,2011-01-12,New Arthurville,O,Christopher Soto,Amy Silva,,2025-11-13T04:44:21.771659
death,REG-0302,Christopher Thompson,,Annetteburgh,,,,Unknown,2025-11-13T04:44:21.772350
birth,REG-0303,Jennifer Cruz,1948-10-30,Jonathanside,O,Rodney Pierce,Jillian Cook,,2025-11-13T04:44:21.772646
death,REG-0304,Douglas Martin,,Baileyton,,,,Natural,2025-11-13T04:44:21.773374
birth,REG-0305,Samantha Cole,2014-03-27,Lauraport,M,Dustin Smith,Nancy Garcia,,2025-11-13T04:44:21.773674
death,REG-0306,Edwin Young,,Adamshire,,,,Accident,2025-11-13T04:44:21.774354
birth,REG-0307,Darryl Tapia,1972-07-07,Lisaland,O,Corey Hughes,Theresa Alvarado,,2025-11-13T04:44:21.774645
death,REG-0308,Marisa Brooks,,West Hayley,,,,Disease,2025-11-13T04:44:21.775325
birth,REG-0309,Thomas Foster,2003-12-17,Leachmouth,O,Timothy Hale,Anna Gamble,,2025-11-13T04:44:21.775675
death,REG-0310,Tonya Lambert,,Virginiaton,,,,Natural,2025-11-13T04:44:21.776361
birth,REG-0311,Daniel Malone,2025-05-29,East Catherinetown,O,Todd Williams,Kristen Greer,,2025-11-13T04:44:21.776699
death,REG-0312,Charlene Morse,,Richardston,,,,Natural,2025-11-13T04:44:21.777424
death,REG-0313,Michelle Buchanan,,Amandatown,,,,Accident,2025-11-13T04:44:21.777721
death,REG-0314,Nicole Young,,East Jaime,,,,Accident,2025-11-13T04:44:21.778028
birth,REG-0315,Jeffrey Petersen,1945-01-28,Adrianaberg,F,Douglas Duran,Lisa Miller,,2025-11-13T04:44:21.778321
death,REG-0316,Stacy Cooper DVM,,Sierraburgh,,,,Accident,2025-11-13T04:44:21.779124
birth,REG-0317,Ricardo Davis,2002-03-15,New Amandastad,O,Adam Jenkins,Valerie Mclaughlin,,2025-11-13T04:44:21.779500
birth,REG-0318,Natalie Howard,1945-06-17,Martinfurt,M,Scott Johnson,Jessica Johnson,,2025-11-13T04:44:21.780388
birth,REG-0319,Tara Wheeler,1975-02-27,West Pamela,O,Robert Norman,Amy Wells,,2025-11-13T04:44:21.781096
birth,REG-0320,Jeremy Freeman,1984-08-11,Josephfort,F,Benjamin Hunter,Katrina Nunez,,2025-11-13T04:44:21.781783
death,REG-0321,Dr. Joy Gomez MD,,Escobarfurt,,,,Natural,2025-11-13T04:44:21.782524
birth,REG-0322,James Green,2025-08-10,New Anthonyland,F,Christopher Smith,Lauren Richardson,,2025-11-13T04:44:21.782823
birth,REG-0323,Alexandria Rose,2025-09-10,West Patrickview,F,Dennis Mitchell,Heather Flores,,2025-11-13T04:44:21.783512
birth,REG-0324,Shane Clark,1953-12-07,Adamville,O,Kenneth Gutierrez,Kelly Grimes,,2025-11-13T04:44:21.784222
death,REG-0325,Robert Martinez,,Lunaport,,,,Unknown,2025-11-13T04:44:21.784939
birth,REG-0326,Kristine Hoover,1992-07-28,Marvinhaven,M,Derek Robinson,Maria Nolan,,2025-11-13T04:44:21.785238
birth,REG-0327,Kenneth Anderson,1991-07-27,South Ronnie,M,Edward Contreras,Jessica Turner,,2025-11-13T04:44:21.785914
death,REG-0328,Kenneth Adams,,Dixonport,,,,Disease,2025-11-13T04:44:21.786634
death,REG-0329,Shelly Carter,,Lake Deborahchester,,,,Disease,2025-11-13T04:44:21.786945
birth,REG-0330,Kristopher Woods,1988-10-02,Morrismouth,F,Andrew Lara,Katelyn Crawford,,2025-11-13T04:44:21.787279
death,REG-0331,Brenda Webster,,South Andrea,,,,Accident,2025-11-13T04:44:21.787983
birth,REG-0332,Jose Guzman,1980-10-11,Ianburgh,F,Michael Cook,Jennifer Perez,,2025-11-13T04:44:21.788280
birth,REG-0333,Carl Baker,1954-04-28,Morrisonhaven,M,Derek Sampson,Megan Padilla,,2025-11-13T04:44:21.789094
birth,REG-0334,Matthew Thompson,1982-12-04,West Timothy,M,Joseph Lewis,Charlotte Hall,,2025-11-13T04:44:21.789808
birth,REG-0335,Jason Chavez,1970-04-08,East Collintown,O,Jacob Curtis,Kimberly Gallagher,,2025-11-13T04:44:21.790499
death,REG-0336,Toni Lane,,New Monique,,,,Natural,2025-11-13T04:44:21.791180
death,REG-0337,Amy Reilly,,East Tyler,,,,Accident,2025-11-13T04:44:21.791478
death,REG-0338,Micheal Ayala,,Port Mark,,,,Unknown,2025-11-13T04:44:21.791796
death,REG-0339,Kenneth Miller,,Tracymouth,,,,Disease,2025-11-13T04:44:21.792091
birth,REG-0340,Rebecca Campbell,1972-09-26,Wangbury,M,Brandon Davis,Tiffany Moyer,,2025-11-13T04:44:21.792428
death,REG-0341,Corey Scott,,Lake Alyssamouth,,,,Unknown,2025-11-13T04:44:21.793115
birth,REG-0342,Jerry Anderson,1984-11-29,Lake Heathershire,O,David Marks,Tanya Hardy,,2025-11-13T04:44:21.793412
death,REG-0343,Margaret Ewing,,Lake Timothy,,,,Disease,2025-11-13T04:44:21.794197
death,REG-0344,Keith Deleon,,North Krystal,,,,Natural,2025-11-13T04:44:21.794502
death,REG-0345,Christine Smith,,Abigailburgh,,,,Accident,2025-11-13T04:44:21.794800
birth,REG-0346,Vanessa Mosley,2024-02-13,Sandersland,F,Ricardo Romero,Amy Wise,,2025-11-13T04:44:21.795135
death,REG-0347,Sarah Harper,,Lake Richardchester,,,,Disease,2025-11-13T04:44:21.795988
death,REG-0348,Dawn Smith,,Lake Paulmouth,,,,Accident,2025-11-13T04:44:21.796317
birth,REG-0349,Jennifer Simmons,1984-06-02,North Kevinfurt,F,Justin Brown,Sherry Carter,,2025-11-13T04:44:21.796624
death,REG-0350,Madeline Miller,,Kathyview,,,,Accident,2025-11-13T04:44:21.797325
birth,REG-0351,John Mclaughlin,1982-05-09,New Thomasport,O,Bryan Melendez,Rebecca Castillo,,2025-11-13T04:44:21.797624
birth,REG-0352,Harold Moore,1966-05-05,Gonzalezhaven,F,Douglas Dunn,Heather Day,,2025-11-13T04:44:21.798346
birth,REG-0353,Devin Jones,1972-02-10,Carterfort,O,Daniel Gregory,Mrs. Kimberly Woods,,2025-11-13T04:44:21.799071
birth,REG-0354,Victoria Sheppard,2002-09-14,Tylermouth,O,Mark Willis,Kimberly Hurley,,2025-11-13T04:44:21.808176
birth,REG-0355,Connie Walton,2016-03-25,Charlesville,M,Ryan Stevenson,Lori Herrera,,2025-11-13T04:44:21.808957
death,REG-0356,Joel Smith,,Hendersonberg,,,,Accident,2025-11-13T04:44:21.809792
birth,REG-0357,Joshua Garcia,2018-05-14,South Joanna,F,Walter Howard,Julie Flores MD,,2025-11-13T04:44:21.810106
death,REG-0358,Stephanie Anderson,,Nicholashaven,,,,Accident,2025-11-13T04:44:21.810813
birth,REG-0359,Nicole Wilson,1992-08-10,North Robertfurt,M,Mark Peters,Carla Walters,,2025-11-13T04:44:21.811118
death,REG-0360,Lisa Smith,,East Paul,,,,Natural,2025-11-13T04:44:21.812105
death,REG-0361,Ernest Thomas,,South Michaelshire,,,,Unknown,2025-11-13T04:44:21.812424
birth,REG-0362,Christopher Morris,1970-08-16,South Shawnshire,O,Robert Hanson,Jessica Reed,,2025-11-13T04:44:21.812725
birth,REG-0363,Charles Wood,2008-05-14,Zacharyburgh,M,Dennis Robinson,Angela Dean,,2025-11-13T04:44:21.813420
birth,REG-0364,John Jones,1996-10-12,West Michealstad,F,John Hicks,Melissa Gonzalez,,2025-11-13T04:44:21.814104
birth,REG-0365,Luis Stuart,1964-05-06,North Kevinton,F,Christopher Dunn,Sarah Davis,,2025-11-13T04:44:21.814783
death,REG-0366,Eric Newman,,Hudsonbury,,,,Unknown,2025-11-13T04:44:21.815496
death,REG-0367,Benjamin Bradley,,South Garystad,,,,Disease,2025-11-13T04:44:21.815872
death,REG-0368,Samantha Chandler,,Shannonstad,,,,Unknown,2025-11-13T04:44:21.816187
death,REG-0369,Amy Hester,,New Angela,,,,Disease,2025-11-13T04:44:21.816491
birth,REG-0370,Shelia Herring,1947-06-23,West Michelle,M,Barry Rosario,Sabrina Wells,,2025-11-13T04:44:21.816788
death,REG-0371,Kaylee Boyd,,Port Lorimouth,,,,Disease,2025-11-13T04:44:21.817721
birth,REG-0372,Alicia Henry,2006-10-18,Pattersonside,F,Joseph Smith,Ariana Mcdonald,,2025-11-13T04:44:21.818094
death,REG-0373,Jessica Anderson,,Mirandashire,,,,Unknown,2025-11-13T04:44:21.818834
death,REG-0374,Rachel Yang,,Coxstad,,,,Accident,2025-11-13T04:44:21.819168
birth,REG-0375,Alex Hernandez,2014-07-06,North Kelseyton,O,Philip Hammond,Nicole Hernandez,,2025-11-13T04:44:21.819464
birth,REG-0376,Stephen Perez,2022-10-19,East Bryanberg,O,Paul Matthews,Lisa Contreras,,2025-11-13T04:44:21.820313
birth,REG-0377,Michelle Baldwin,1959-11-22,Port Jonathanfurt,F,Daniel Morales,Michelle Chen,,2025-11-13T04:44:21.821023
death,REG-0378,Charles Reese,,North Melinda,,,,Natural,2025-11-13T04:44:21.821941
death,REG-0379,Patrick Black,,East Catherinestad,,,,Disease,2025-11-13T04:44:21.822363
death,REG-0380,Samantha Gonzalez,,West Benjamin,,,,Natural,2025-11-13T04:44:21.822719
birth,REG-0381,Alvin Livingston,1963-07-10,South Melissa,M,Andrew Holmes,Jessica Ruiz,,2025-11-13T04:44:21.823022
birth,REG-0382,Johnny Riley,1959-03-24,Scottton,O,Michael White,Wendy Long,,2025-11-13T04:44:21.823817
death,REG-0383,Chris Reynolds,,West Luis,,,,Natural,2025-11-13T04:44:21.824522
death,REG-0384,Christopher Banks,,Robinsonberg,,,,Accident,2025-11-13T04:44:21.824889
death,REG-0385,Jennifer Oconnell,,West Ericabury,,,,Natural,2025-11-13T04:44:21.825200
birth,REG-0386,Eric Mcgee,1982-09-01,Byrdhaven,F,Martin Murphy,Amber Ward,,2025-11-13T04:44:21.825535
death,REG-0387,April Dixon,,Donaldbury,,,,Natural,2025-11-13T04:44:21.826281
birth,REG-0388,Joseph Valdez,1948-09-03,West Holly,F,Jonathan Lin,Doris Mora,,2025-11-13T04:44:21.826582
death,REG-0389,Jessica Perkins,,Sherishire,,,,Natural,2025-11-13T04:44:21.827323
death,REG-0390,Eric Rogers,,Madisonton,,,,Unknown,2025-11-13T04:44:21.827786
death,REG-0391,Angie Ingram DDS,,Lake Nancybury,,,,Unknown,2025-11-13T04:44:21.828162
birth,REG-0392,Rebecca Moran,2011-08-26,Smithfurt,M,John Rowe,Melissa Ramos,,2025-11-13T04:44:21.828513
birth,REG-0393,Michael Obrien,2006-03-03,Lake Chelsea,M,Wayne Smith,Marie James,,2025-11-13T04:44:21.829344
birth,REG-0394,Michael Phillips,1947-07-14,Johnmouth,M,Jonathan Taylor,Rebecca Chaney,,2025-11-13T04:44:21.830219
birth,REG-0395,Thomas York,1958-01-21,Port Michael,F,Donald Sutton,Jennifer Hill,,2025-11-13T04:44:21.831254
birth,REG-0396,Nancy Thompson,2024-05-16,Lake Benjaminmouth,F,Mark Jones,Elizabeth Gomez,,2025-11-13T04:44:21.832288
birth,REG-0397,Rachel Johnston,1999-01-26,Rhondaton,M,Albert Thompson,Casey Guerra,,2025-11-13T04:44:21.833017
birth,REG-0398,Sean Powers,1983-08-28,Torresshire,O,Austin Gibson,Kathy Odonnell,,2025-11-13T04:44:21.833740
birth,REG-0399,Ronald Sandoval,2017-04-01,Ramirezport,M,Brent Austin,Carla Pierce,,2025-11-13T04:44:21.834523
birth,REG-0400,Zachary Garcia,1979-08-10,Cabrerashire,F,Jack Davies,Laura Williams,,2025-11-13T04:44:21.835265
birth,REG-0401,Scott Barnes,2016-04-19,Stewartberg,O,Randy Williams,Terry Nunez,,2025-11-13T04:44:21.836038
death,REG-0402,Jennifer Taylor,,Pottershire,,,,Disease,2025-11-13T04:44:21.836950
death,REG-0403,Scott Lee,,West Nancy,,,,Unknown,2025-11-13T04:44:21.837351
death,REG-0404,Jaime Salazar,,Mirandamouth,,,,Accident,2025-11-13T04:44:21.837698
death,REG-0405,Albert Williams,,Lake Jenna,,,,Disease,2025-11-13T04:44:21.838028
birth,REG-0406,Michelle Anderson,1981-04-09,Jamesside,F,William Roberts,Katherine Clark,,2025-11-13T04:44:21.838573
death,REG-0407,Michael Whitaker,,Port Nicoleland,,,,Unknown,2025-11-13T04:44:21.839835
birth,REG-0408,Miss Jessica Bailey,2014-08-28,East Kimberlymouth,M,Ryan Hayes,Victoria Huynh,,2025-11-13T04:44:21.840317
death,REG-0409,Norman Taylor,,North Jacobberg,,,,Unknown,2025-11-13T04:44:21.841129
death,REG-0410,John Castillo,,Reyesfort,,,,Natural,2025-11-13T04:44:21.841474
death,REG-0411,Maria Henry MD,,Longfort,,,,Accident,2025-11-13T04:44:21.841822
death,REG-0412,Howard Smith,,Lake Laurie,,,,Disease,2025-11-13T04:44:21.842132
death,REG-0413,Daniel Wilson,,South Eddie,,,,Accident,2025-11-13T04:44:21.842434
birth,REG-0414,Steven Juarez,1968-03-13,Michaelstad,O,James Tucker,Diana Coleman,,2025-11-13T04:44:21.842725
birth,REG-0415,Rachel Allison,1992-04-10,North Christina,F,Alan Williams,Mary Fox,,2025-11-13T04:44:21.843494
birth,REG-0416,Richard Jones,1946-05-17,Jessicamouth,F,Richard Haynes,Diane Reilly,,2025-11-13T04:44:21.844276
birth,REG-0417,Wendy Martin,2020-08-12,Hallmouth,O,Robert Santos,Catherine Brennan,,2025-11-13T04:44:21.845347
death,REG-0418,Stephen Hines,,Keithstad,,,,Natural,2025-11-13T04:44:21.846345
death,REG-0419,Richard Lane,,Jenniferchester,,,,Natural,2025-11-13T04:44:21.846761
birth,REG-0420,Dylan Moore,1997-02-12,North Cory,F,Kevin Moore,Jennifer Brown,,2025-11-13T04:44:21.847173
death,REG-0421,Eric Jones MD,,Jonesville,,,,Natural,2025-11-13T04:44:21.848176
birth,REG-0422,David Hoffman,1981-12-04,South Kyleville,M,Robert Keith,Debra Griffin,,2025-11-13T04:44:21.848633
death,REG-0423,Andrea Swanson,,Lawsonhaven,,,,Unknown,2025-11-13T04:44:21.849842
death,REG-0424,Mr. Christian Clayton Jr.,,Lambborough,,,,Unknown,2025-11-13T04:44:21.850560
birth,REG-0425,Stephanie Fisher,2022-01-11,North Pedro,M,William Church,Valerie Gamble,,2025-11-13T04:44:21.851186
death,REG-0426,David Clark,,Whitneystad,,,,Unknown,2025-11-13T04:44:21.852555
death,REG-0427,Andrew Carter,,Lake Teresaview,,,,Disease,2025-11-13T04:44:21.853142
birth,REG-0428,Veronica Jensen,2013-09-23,North Pamelamouth,O,Donald Martinez,Sandra Butler,,2025-11-13T04:44:21.853477
death,REG-0429,Stacey Bowman,,Taylormouth,,,,Natural,2025-11-13T04:44:21.854253
birth,REG-0430,Kimberly Carroll,1980-02-16,Haydenstad,M,Matthew Mccann,Paige Harris,,2025-11-13T04:44:21.854602
birth,REG-0431,Jeff Hardy,2009-06-23,Samanthafurt,M,Anthony Mcclain,Elizabeth Butler,,2025-11-13T04:44:21.855338
death,REG-0432,Matthew Bush,,Mcgeestad,,,,Accident,2025-11-13T04:44:21.856134
birth,REG-0433,Meredith Schmidt,2023-08-22,South Daniel,M,Mr. Leroy Avery,Kelly Carter,,2025-11-13T04:44:21.856486
birth,REG-0434,Susan Anderson,2024-11-27,Teresafurt,F,Christopher Thompson,Susan Davis,,2025-11-13T04:44:21.857210
death,REG-0435,Samantha Rojas,,East Ronald,,,,Accident,2025-11-13T04:44:21.857927
death,REG-0436,Lisa Williams,,South Monica,,,,Natural,2025-11-13T04:44:21.858228
birth,REG-0437,Richard Taylor,1985-04-01,East Joyland,O,Dominic Johnson,Maria Hardy,,2025-11-13T04:44:21.858533
birth,REG-0438,David Bishop,1995-03-22,West Charlesview,O,Patrick Dennis,Margaret Santos,,2025-11-13T04:44:21.859358
birth,REG-0439,Sandra Woods,1974-03-07,North Emilymouth,F,Brian Robinson,Mackenzie Rhodes,,2025-11-13T04:44:21.860189
birth,REG-0440,Pamela Parks,1947-04-16,Port Lisa,M,Harold Williams,Mrs. Nancy Diaz,,2025-11-13T04:44:21.861197
birth,REG-0441,Peter Vaughn,1988-01-09,Huangfort,F,Mr. David Weiss,Kelly Fowler,,2025-11-13T04:44:21.861997
birth,REG-0442,Dana Williams,1993-12-06,South Kelli,O,Ryan Barton,Marissa Robinson,,2025-11-13T04:44:21.862757
death,REG-0443,Christina Lyons,,Lake Nicole,,,,Unknown,2025-11-13T04:44:21.863473
birth,REG-0444,Anthony Smith,2014-03-22,West George,O,Christian Stanley,Amy Cooper MD,,2025-11-13T04:44:21.863811
death,REG-0445,Roberto Powell,,West Kurt,,,,Disease,2025-11-13T04:44:21.864541
death,REG-0446,Clinton Adams,,Brockshire,,,,Unknown,2025-11-13T04:44:21.864878
birth,REG-0447,David Martinez,1970-11-26,Laratown,F,Robert Henry,Sarah Lopez,,2025-11-13T04:44:21.865234
death,REG-0448,Ms. Misty Clark,,Robertborough,,,,Disease,2025-11-13T04:44:21.865933
birth,REG-0449,Steven Bryant,1956-05-01,Vazquezside,O,Gregory Larson,Amanda Kennedy,,2025-11-13T04:44:21.866284
birth,REG-0450,Paul Kennedy,2011-02-20,Harveystad,O,William James,Carrie Hall,,2025-11-13T04:44:21.867014
death,REG-0451,Melissa Norris,,Port Tammyside,,,,Disease,2025-11-13T04:44:21.867755
birth,REG-0452,Robert Brown,2006-05-06,Sampsonmouth,O,Brian Lindsey,Becky Lucas DVM,,2025-11-13T04:44:21.868097
death,REG-0453,Megan Hunter,,New Phillip,,,,Disease,2025-11-13T04:44:21.868826
death,REG-0454,Matthew Ward,,Jenniferfort,,,,Disease,2025-11-13T04:44:21.869124
birth,REG-0455,Joseph Smith,1970-09-28,Frankburgh,F,Shawn Holmes,Kayla Kaufman,,2025-11-13T04:44:21.869434
death,REG-0456,Kenneth Campbell,,New Laura,,,,Disease,2025-11-13T04:44:21.870131
death,REG-0457,Bryan Walker,,West Christina,,,,Accident,2025-11-13T04:44:21.870444
birth,REG-0458,Sabrina Turner,1967-09-05,Jamesburgh,O,Justin Williams,Kimberly Marquez,,2025-11-13T04:44:21.870794
death,REG-0459,Jamie Hunt,,North Billyberg,,,,Accident,2025-11-13T04:44:21.871677
death,REG-0460,Marilyn Welch,,East Brent,,,,Unknown,2025-11-13T04:44:21.872227
death,REG-0461,Joshua Santiago,,Gonzalezberg,,,,Unknown,2025-11-13T04:44:21.872842
birth,REG-0462,Joel Myers,2009-07-03,West Brenda,F,Richard Hatfield,Denise Mendez,,2025-11-13T04:44:21.873244
birth,REG-0463,Jeffrey Rogers,2018-07-02,Mooreview,O,Jonathan Smith,Heather Cabrera,,2025-11-13T04:44:21.874167
death,REG-0464,Katherine Franklin,,North Matthew,,,,Accident,2025-11-13T04:44:21.875411
death,REG-0465,Lisa Kim,,Davidfurt,,,,Accident,2025-11-13T04:44:21.875963
birth,REG-0466,Andrea Myers,1956-12-05,Port Markmouth,F,Eric Carlson,Kristin Miller,,2025-11-13T04:44:21.876445
birth,REG-0467,Emma Sparks,1988-08-03,New Meghan,M,Jamie Johnson,Cheryl Bowman,,2025-11-13T04:44:21.877491
birth,REG-0468,Kendra Reynolds,1956-02-28,West Shannonchester,O,Steven Scott,Christina Cooper,,2025-11-13T04:44:21.878206
birth,REG-0469,Eric Lee,2020-08-29,South Paul,M,Charles Hicks,Jamie Ochoa,,2025-11-13T04:44:21.878891
death,REG-0470,Dustin Wilson,,Paynefort,,,,Accident,2025-11-13T04:44:21.879645
death,REG-0471,Heather Farmer,,South Kristopher,,,,Accident,2025-11-13T04:44:21.879976
birth,REG-0472,Kelly Kelly,2017-11-01,West Noahhaven,O,Keith Griffith,Nicole Gilmore,,2025-11-13T04:44:21.880276
birth,REG-0473,Sarah Adams,2010-06-19,Mendozaburgh,F,Kevin Smith,Christine Harrell,,2025-11-13T04:44:21.881097
birth,REG-0474,Benjamin Chung,2000-02-22,North Thomasview,O,James Sweeney,Angel Hall,,2025-11-13T04:44:21.881932
death,REG-0475,Brandon Collier,,Crystalton,,,,Disease,2025-11-13T04:44:21.882671
birth,REG-0476,Robert Suarez,1949-06-11,Christianstad,M,Johnny Hall,Nicole Johnson,,2025-11-13T04:44:21.882973
death,REG-0477,Kyle Snow,,Port Kristen,,,,Natural,2025-11-13T04:44:21.883896
death,REG-0478,Latasha Martinez,,Warnerbury,,,,Natural,2025-11-13T04:44:21.884355
birth,REG-0479,Rebecca Harding,1947-08-08,Lake Tyler,M,Matthew Webb,Linda Tyler,,2025-11-13T04:44:21.884768
death,REG-0480,Jennifer Reid,,Lake Jeremychester,,,,Natural,2025-11-13T04:44:21.885592
death,REG-0481,Robyn Odonnell,,North Leonardborough,,,,Natural,2025-11-13T04:44:21.886035
death,REG-0482,Haley Wiley,,Debraborough,,,,Natural,2025-11-13T04:44:21.886357
